Début de la Première guerre Mondiale : Aout ...,1914
Révolutin des russes,1917
Armistice : 11 Novembre ...,1918
Hitler est nommé Chancelier : Janvier ...,1933
Début de la Deuxième guerre Mondiale : Septembre ...,1939
Appel du Général De Gaulle : 18 Juin ...,1940
Droit de vote des femmes,1944
Capitulation allemande : Mai ...,1945
Proclamation de la République,1792
Exécution du roi Louis XVI,1793
Le roi Louis Phillipe 1er est renversé, début de la Deuxième République,1848
Napoléon III rétablit l'empire,1852
Troisième République,1870
Victoire de Napoléon 1er à Austerlitz,1805
Début de la révolution industrielle,1840
Le vaccin de la rage par Pasteur,1885
Construction de la Tour Eiffel,1889
Séparation de l'église et de l'état,1905
Hiroshima et Nagasaki,1945
Déclaration universelle des droits de l'Homme,1948
Prise de la Bastille,1789
Assassinat de Maral,1793
Bonaparte part en Egypte,1798
Napoléon 1er empereur,1804
Défaite de Napoléon à Waterloo,1815
Les trois glorieuses,1830
Abdication de Charles X,1830
Abolition de l'esclavage,1848
Jules Ferry rend l'école gratuite laïque et obligatoire,1882
Bataille de Verdun,1916
Création de L'ONU,1945
Traité de Rome,1957
Charles de Gaulle fonde la 5ème République,1958
Amstrong marche sur la lune,1969
Chute du mur de Berlin,1989
Adoption de l'euro,2002