Apparition de la terre : ... avant JC,4600000000
Première vie sur terre : ... avant JC,3500000000
Extinction des dinosaures : ... avant JC,65000000
Les ancêtres de l'Homme apparaîssent en Afrique : ... avant JC,10000000
Homo Habilis : ... avant JC,2500000
Homo Erectus : ... avant JC,1500000
L'Homme découvre le feu : ... avant JC,500000
Homme de Néandertal : ... avant JC,130000
Grottes de Lascau : ... avant JC,17000
L'Homme invente l'agriculture : ... avant JC,8000
Invention de l'écriture  : ... avant JC,3000